序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
15091,2004.19.75.1,"Kangxi Emperor's Southern Inspection Tour, Scroll Seven: Wuxi to Suzhou",https://search.museums.ualberta.ca/21-20555,https://media.museums.ualberta.ca/UAAC/bfw/2004/2004_019_075_001_d21_s20-02v01.jpg,,Qing 17th century,ink and colour on silk,sheet: 68.8 cm x 2932.4 cm; image: 67.7 cm x 2220 cm,Wang Hui,Gift of Sandy and Cécile Mactaggart,handscroll,"Emperor Kangxi (r.1661-1722), the third monarch of the Qing Dynasty, made six tours to southern China from 1684 to 1707. He commissioned imperial artist Wang Hui (1632-1717) to document the second tour in 12 handscrolls. This painting is the seventh scroll of the series, which depicts the route from Wuxi to Suzhou during the Emperor’s second tour in 1689.
The front fringe of the mounted scroll has one label with three parts: “the picture of the southern inspection tour” (nan-xun-tu), “the seventh scroll “ (di-qi juan), and “the route from Wuxi county to the emperor’s accommodation at Suzhou’s official residence” (zi-wuxi-xian zhubi suzhou-fu). At the beginning of the handscroll, which is viewed from right to left, a poetry inscription, titled “Reverence picture of the seventh scroll”, describes people welcoming the Emperor’s procession along the route. The poetry also honours Emperor Kangxi for his mercy and granting tax waivers to the Suzhou people. The scroll bears no red seals.
Following the inscription, the painting begins with the countryside scenery of Qingyuan, Huishan temple, and Xishan. Further along, we see Wuxi county with boats on the river and busy streets along the canal. Afterwards, the scenery shows Xin-an, Hu-shu-guan (a bustling city with cargo ships and tax collecting near the Grand Canal), Shan-tang, and Hu-Qiu. In all of these places there is flourishing urban life, both on the streets and the river. Following these cities, we see Chanmen (the Chan gate) of Suzhou and the Emperor’s procession in ships surrounded by a welcoming parade on the dock. The scene moves into the city of Suzhou, showing the busy streets with decorations and the gathering crowds anticipating the Emperor’s arrival. Further to the left, near the end of the painting, we see the Suzhou Weaving Office, which is preparing for the Emperor’s arrival.",The colophon is inscribed with a description of the events depicted on the scroll.
15092,2005.5.147.2,Embroidered Silk Hanging,https://search.museums.ualberta.ca/21-20829,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_147_002_re_s22-02v01.jpg,,Qing 19th century,silk; silk brocade; silk floss; silk satin; silk twill; embroidery,overall: 197.5 cm x 70.7 cm,unknown,Gift of Sandy and Cécile Mactaggart,hanging,,
15093,2005.5.280.2,Embroidered Red Silk Yardage for a Woman's Informal Robe,https://search.museums.ualberta.ca/21-20953,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_280_002_ve_s22-02v01.jpg,,Qing 20th century,silk floss; silk twill; embroidery,overall: 137 cm x 77.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,yardage,,
15094,2005.5.185,Embroidered Blue Silk Dragon Robe for a Man,https://search.museums.ualberta.ca/21-19407,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_185_ve_s21-03v01.jpg,,Qing 20th century,"blue silk twill embroidered with silk, metal-wrapped and peacock feather-wrapped threads",overall: 142 cm x 213 cm; neck to hem: 142 cm; cuff to cuff: x 213 cm,unknown,Gift of Sandy and Cécile Mactaggart,robe,,
15095,2004.19.85.4,Outer Box for Green Bamboo and Old Trees,https://search.museums.ualberta.ca/21-20568,https://media.museums.ualberta.ca/UAAC/full/2004/19-85-4_1.jpg,,Qing 17th century,wood,overall: 9.3 cm x 9.2 cm x 33.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,box,Outer storage box for handscroll.,
15096,2005.5.487,Embroidered Cream Silk Cushion Cover,https://search.museums.ualberta.ca/21-19709,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_487_ve_s21-03v01.jpg,,Qing 19th century,gold wrapped silk thread; silk damask; silk gauze; silk twill; silk twist; embroidery,overall: 248 cm x 169.9 cm,unknown,Gift of Sandy and Cécile Mactaggart,cushion cover,,
15097,2005.5.26,Blue Silk Table Frontal,https://search.museums.ualberta.ca/21-19248,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_026_re_op_s23-01v01.jpg,,Qing 18th century,silk brocade; silk satin; gold wrapped silk thread; silk noil; twill tape,overall: 94.5 cm x 96 cm,unknown,Gift of Sandy and Cécile Mactaggart,table frontal,,
15098,2005.5.410.2,Red and Blue Silk Velvet Chair Cover,https://search.museums.ualberta.ca/21-20796,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_410_002_ve_g02_s20-02v01.jpg,,Qing 19th-20th centuries,silk cut velvet; silk damask,overall: 156.3 cm x 51.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,chair cover,,
15099,2005.5.243,Silk Tapestry Weave Fragment from a Hanging,https://search.museums.ualberta.ca/21-19465,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_243_ve_s20-02v01.jpg,,Qing 19th century,silk; tapestry weave; gold wrapped silk thread,overall: 72 cm x 37.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,fragment,,
15100,2005.5.547.2,Back Panel of a Rank Badge for a Fourth Rank Civil Official,https://search.museums.ualberta.ca/21-20617,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_547_002_ve_s19-12v01.jpg,,Qing 19th-20th centuries,gold wrapped silk thread; linen; silk; silk floss; silver wrapped silk thread; embroidery,overall: 29.2 cm x 30.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a goose, which represents the fourth rank of a civil official.
The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. This rank badge pair was decorated with counted stitch embroidery made from polychrome silk floss and metal-wrapped threads. In the center of the badge is a goose standing on rocks and surrounded by waves. The bird is looking toward a red sun at the upper left corner. Blue curvilinear clouds fill the background of the top of the badge, while interlinked ruyi clouds form a line underneath the waves. The bottom shows diagonal stripes, representing standing water, woven in two-toned metal-wrapped threads. The Eight Buddhist Treasures are scattered throughout, including the parasol, canopy, endless knot and lotus in the sky, and the vase, fish, conch, and wheel in the waves. The border of the badge features black embroidery with bats (which represent fortune) and longevity characters.",
15101,2005.5.217,Silk Brocade Fragmentary Panel,https://search.museums.ualberta.ca/21-19439,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_217_s19-12v01.jpg,,Qing 20th century,silk; silk brocade; silk satin,overall: 75.1 cm x 66.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,panel,,
15102,2005.5.239,Front and Back Panels of Silk Tapestry Weave Military Roundels,https://search.museums.ualberta.ca/21-19461,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_239_002_re_s23-03v01.jpg,,Qing 17th century,gold wrapped silk thread; peacock feathers; silk; silk tapestry weave,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,,
15103,2005.5.509,Embroidered Cream Silk Sleeve Bands,https://search.museums.ualberta.ca/21-19731,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_509_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; silk; silk brocade ribbon; silk floss; silk satin; embroidery,overall: 63.3 cm x 32.3 cm,unknown,Gift of Sandy and Cécile Mactaggart,sleeve band,,
15104,2005.5.581,Front Panel of a Rank Badge for a Seventh Rank Civil Official,https://search.museums.ualberta.ca/21-19803,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_581_ve_s19-12v01.jpg,,Qing 19th century,gold wrapped silk thread; silk; embroidery,,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Qing Period (1644-1911), Seventh Rank Civil Official (Mandarin Duck)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",
15105,2005.5.607.2,Back Panel of a Rank Badge for a Fifth Rank Civil Official,https://search.museums.ualberta.ca/21-20767,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_607_002_ve_s19-12v01.jpg,,Qing 19th century,silk floss; silk gauze; silk satin; embroidery,overall: 29 cm x 29.4 cm,unknown,Gift of Sandy and Cécile Mactaggart,rank badge,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",
15106,2005.5.621.3,Peacock Feather,https://search.museums.ualberta.ca/21-21037,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_621_003_re_s20-02v01.jpg,,Qing 19th century,peacock feather; cotton; silk floss; jade,overall: 41 cm x 10 cm,unknown,Gift of Sandy and Cécile Mactaggart,feather,"This feather is intended to be attached to a Qing official’s hat (2005.5.621.2). In the early Qing dynasty, Emperor Qianlong bestowed the feather upon military officials, but it later became a general honor for other officials as well. The peacock feather is wrapped with long animal hairs at the base and inserted into carved green jade.",
15107,2004.19.1.1.58,Album Leaf from Illustrations of Costumes from the Qianlong Court,https://search.museums.ualberta.ca/21-20267,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_058_s21-03v01.jpg,,Qing 18th century,ink; silk; paper,sheet: 42.2 cm x 40.8 cm; image: 28.4 cm x 13.1 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.59) depicting one side of a formal court crown.  There is a paper label attached at the bottom centre that describes the arrangement of pearls.","Handwritten in pencil on a small piece of paper pasted onto the silk, bottom center: ""Head dress/324 Oriental pearls [and] in every string of/great(?) pearls there is to be one in the middle.""
On the reverse of the… 

Handwritten in pencil on a small piece of paper pasted onto the silk, bottom center: ""Head dress/324 Oriental pearls [and] in every string of/great(?) pearls there is to be one in the middle.""
On the reverse of the piece ""(10)"" is handwritten in pencil on the upper right corner. 
Read More +"
15108,2005.5.492,Embroidered Red Silk Fragmentary Panel from a Dragon Robe,https://search.museums.ualberta.ca/21-19714,https://media.museums.ualberta.ca/UAAC/full/2005/05_005_492s01v01.jpg,,Qing 19th century,gold wrapped silk thread; silk brocade; silk floss; silk satin; embroidery,overall: 141.7 cm x 82.5 cm,unknown,Gift of Sandy and Cécile Mactaggart,panel,,
15109,2004.19.43,Lilies,https://search.museums.ualberta.ca/21-19108,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_043_m01_s22-02v01.jpg,,Modern 20th century,ink and colour on paper,sheet: 230.5 cm x 55.6 cm; image: 88 cm x 39.8 cm,Gao Jianfu,Gift of Sandy and Cécile Mactaggart,hanging scroll,A hanging scroll painting of red lilies.,Signed by Jianfu and impressed with 2 artist seals.
15110,2004.19.34,Studying in the River Village,https://search.museums.ualberta.ca/21-19099,https://media.museums.ualberta.ca/UAAC/bfw/2004/2004_019_034_m01_s20-02v01.jpg,,Qing 17th century,ink and colour on silk,sheet: 235.6 cm x 69.4 cm; image: 132.6 cm x 52.9 cm,Wang Hui,Gift of Sandy and Cécile Mactaggart,hanging scroll,A hanging scroll painting of buildings in a river landscape.,"Signed by Wang Hui Zhi and impressed with 4 artist seals.  There is an inscription by Hong Wu, dated 1796."
15111,2004.19.1.1.56,Album Leaf from Illustrations of Costumes from the Qianlong Court,https://search.museums.ualberta.ca/21-20265,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_056_s21-03v01.jpg,,Qing 18th century,ink; silk; paper,sheet: 42.2 cm x 40.8 cm; image: 29.6 cm x 16.4 cm,unknown,Gift of Sandy and Cécile Mactaggart,album leaf,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.57) and it contains three columns of regular script calligraphy describing regulations for a summer diadem (chaoguan) for the empress dowager and empress. The text continues from the attached right leaf.","皇后夏朝冠 青絨為之 餘俱如東朝冠 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.57]...The summer court hat of the Empress Dowager and Empress is made of blue velvet, and… 

													皇后夏朝冠 青絨為之 餘俱如東朝冠 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.57]...The summer court hat of the Empress Dowager and Empress is made of blue velvet, and other ornamentation is like that on the winter court hat.""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 102)
On the reverse of the piece ""(12)"" is handwritten in pencil on the upper right corner. 
Read More +"
